id,name,aliases,cuisines,grocery_category,seasonality,_wikidata
broccoli,Broccoli,"Broccoli Co., Ltd.,Broccoli B.V.",,produce,,[object Object]
cauliflower,Cauliflower,,,,,[object Object]
cabbage,Cabbage,Xiăobáicài,,,,[object Object]
chicken,Chicken,"Chicken, AK,Chicken, Alaska,Chicken mob,MC Chicken,Minecraft Chicken",,,,[object Object]
beef,Beef,"Hellions,Buford Wilson,Beeflang",,,,[object Object]
pork,Pork,Krzysztof Borkusz,,,,[object Object]
lamb,Lamb,"Lamb, Kentucky,Lamb, KY,Lamb Parish,Parish of Lamb,The Lamb,Lamb PH,The Lamb, Newport,Lamb Island,Lamb, Indiana,Lady Lamb the Beekeeper,Lamb, IL,Lamb, Illinois,Lamb, St Albans,Lamb (given name),Dýrið",,,,[object Object]
shrimp,Shrimp,"A37,Saro Shrimp,Saunders Roe A.37 Shrimp,Shrimp aircraft",,,,[object Object]
salmon,Salmon,"Salmon, ID,Salmon, Idaho,Salomon,Salmah,Byron Switch,Byron Switch, Anderson County, Texas,Byron Switch, Texas,Salmon TX,Salmon, Anderson County, Texas,Salmon, Texas,Salmon Protocol,salmon alignment tool,salmon software,MC Salmon,Minecraft Salmon,Salmon mob,Fleetway Salmon",Alaskan,,,[object Object]
tuna,Tuna,"Altuna Sejdiu,Tuna parish,Duina,Düna,Tuna Barrio,Tuna, Puerto Rico,Tuna, San Germán,Tuna (given name),IMO 9306691,Wenke,Jintang,Katherina Chapa,IMO 8230041",,,,[object Object]
beef-broth,Beef Broth,,,,,
beef-chuck,Beef Chuck,,,,,
peas,Peas,,,,,
avocado,Avocado,,,,,
miso,Miso,,,,,
tofu,Tofu,,,,,
seaweed,Seaweed,,,,,
pasta,Pasta,,,,,
pine-nuts,Pine Nuts,,,,,
star-anise,Star Anise,,,,,
clove,Clove,,,,,
rice-noodles,Rice Noodles,,,,,
bulgur,Bulgur,,,,,
coconut-milk,Coconut Milk,,,,,
curry-powder,Curry Powder,,,,,
flank-steak,Flank Steak,,,,,
low-sodium-soy-sauce,Low-sodium Soy Sauce,,,,,
brown-sugar,Brown Sugar,,,,,
lime-juice,Lime Juice,,,,,
crushed-red-pepper-flakes,Crushed Red Pepper Flakes,,,,,
spaghetti,Spaghetti,,,,,
sesame-oil,Sesame Oil,,,,,
scallion,Scallion,,,,,
tahini,Tahini,,,,,
