id,name,aliases,cuisines,grocery_category,seasonality,_wikidata
shrimp,Shrimp,"A37,Saro Shrimp,Saunders Roe A.37 Shrimp,Shrimp aircraft",,,,[object Object]
salmon,Salmon,"Salmon Protocol,Byron Switch,Byron Switch, Anderson County, Texas,Byron Switch, Texas,Salmon TX,Salmon, Anderson County, Texas,Salmon, Texas,Salmon, ID,Salmon, Idaho,Salomon,Salmah,salmon alignment tool,salmon software,MC Salmon,Minecraft Salmon,Salmon mob,Fleetway Salmon",Alaskan,,,[object Object]
tuna,Tuna,"Tuna parish,Duina,Düna,Altuna Sejdiu,Tuna Barrio,Tuna, Puerto Rico,Tuna, San Germán,Wenke,Jintang,Katherina Chapa,IMO 8230041,Tuna (given name),IMO 9306691",,,,[object Object]
beef-broth,Beef Broth,,,,,
beef-chuck,Beef Chuck,,,,,
peas,Peas,,,,,
avocado,Avocado,,,,,
miso,Miso,,,,,
tofu,Tofu,,,,,
seaweed,Seaweed,,,,,
pasta,Pasta,,,,,
pine-nuts,Pine Nuts,,,,,
star-anise,Star Anise,,,,,
clove,Clove,,,,,
rice-noodles,Rice Noodles,,,,,
bulgur,Bulgur,,,,,
coconut-milk,Coconut Milk,,,,,
curry-powder,Curry Powder,,,,,
flank-steak,Flank Steak,,,,,
low-sodium-soy-sauce,Low-sodium Soy Sauce,,,,,
brown-sugar,Brown Sugar,,,,,
lime-juice,Lime Juice,,,,,
crushed-red-pepper-flakes,Crushed Red Pepper Flakes,,,,,
spaghetti,Spaghetti,,,,,
sesame-oil,Sesame Oil,,,,,
scallion,Scallion,,,,,
tahini,Tahini,,,,,
